shop,product_id,handle,title,variant_id,sku
rtp0h2-cv.myshopify.com,10140734554459,brand-mc-kenzie-tropical-daze-banana-leaves-leaf-green-gruen-bmtd001-05c,Banana Leaves Leaf Green BMTD001/05C,51532071338331,2077190
rtp0h2-cv.myshopify.com,10140734685531,brand-mc-kenzie-tropical-daze-banana-leaves-leaf-green-gruen-bmtd001-06c,Banana Leaves Leaf Green BMTD001/06C,51532074221915,2077185
rtp0h2-cv.myshopify.com,10142090395995,borastapeter-linen-bay-leaf-gruen-4333,Bay Leaf 4333,51540592099675,2016193
rtp0h2-cv.myshopify.com,10142097604955,borastapeter-new-heritage-bella-4814-gruen-4814,Bella 4814 4814,51540602716507,2073792
rtp0h2-cv.myshopify.com,10142097637723,borastapeter-new-heritage-bella-4815-beige-4815,Bella 4815 4815,51540602749275,2073793
rtp0h2-cv.myshopify.com,10142024794459,borastapeter-scandinavian-designers-ii-bersa-gruen-1750,Berså 1750,51540448739675,2014990
rtp0h2-cv.myshopify.com,10142144495963,borastapeter-icons-bersa-2100369,Berså 1750,51540718584155,2100369
rtp0h2-cv.myshopify.com,10142024859995,borastapeter-scandinavian-designers-ii-bersa-grau-1751,Berså 1751,51540448837979,2014991
rtp0h2-cv.myshopify.com,10142024991067,borastapeter-scandinavian-designers-ii-bersa-blau-1752,Berså 1752,51540448936283,2014992
rtp0h2-cv.myshopify.com,10142025056603,borastapeter-scandinavian-designers-ii-bersa-gelb-1753,Berså 1753,51540449067355,2014993
rtp0h2-cv.myshopify.com,10142025187675,borastapeter-scandinavian-designers-ii-bersa-orange-1754,Berså 1754,51540449329499,2014994
rtp0h2-cv.myshopify.com,10142115103067,borastapeter-borosan-hem-betty-38770,Betty 38770,51540658946395,2079302
rtp0h2-cv.myshopify.com,10142115201371,borastapeter-borosan-hem-betty-38771,Betty 38771,51540659110235,2079303
rtp0h2-cv.myshopify.com,10142085579099,borastapeter-linen-birch-white-weiss-4302,Birch White 4302,51540583809371,2016162
rtp0h2-cv.myshopify.com,10142124310875,borastapeter-swedish-grace-birgit-5520,Birgit  5520,51540680638811,2090404
rtp0h2-cv.myshopify.com,10142124474715,borastapeter-swedish-grace-birgit-5521,Birgit  5521,51540681228635,2090405
rtp0h2-cv.myshopify.com,10142124573019,borastapeter-swedish-grace-birgit-5522,Birgit  5522,51540681556315,2090406
rtp0h2-cv.myshopify.com,10142124671323,borastapeter-swedish-grace-birgit-5523,Birgit  5523,51540681752923,2090407
rtp0h2-cv.myshopify.com,10142114840923,borastapeter-borosan-hem-birk-38767,Birk 38767,51540658192731,2079299
rtp0h2-cv.myshopify.com,10142027776347,borastapeter-scandinavian-designers-ii-bladranker-weiss-1785,Bladranker 1785,51540462272859,2015025
rtp0h2-cv.myshopify.com,10142027841883,borastapeter-scandinavian-designers-ii-bladranker-weiss-1786,Bladranker 1786,51540462338395,2015026
rtp0h2-cv.myshopify.com,10142027940187,borastapeter-scandinavian-designers-ii-bladranker-weiss-1787,Bladranker 1787,51540462436699,2015027
rtp0h2-cv.myshopify.com,10142119395675,borastapeter-orangeri-blaregn-blau-2090314,Blåregn 5707,51540668907867,2090314
rtp0h2-cv.myshopify.com,10142119493979,borastapeter-orangeri-blaregn-beige-2090315,Blåregn 5708,51540668973403,2090315
rtp0h2-cv.myshopify.com,10142119559515,borastapeter-orangeri-blaregn-gelb-2090316,Blåregn 5709,51540669071707,2090316
rtp0h2-cv.myshopify.com,10142119625051,borastapeter-orangeri-blaregn-gruen-2090317,Blåregn 5710,51540669137243,2090317
rtp0h2-cv.myshopify.com,10142119854427,borastapeter-orangeri-blaregn-blau-2090318,Blåregn 5711,51540669563227,2090318
rtp0h2-cv.myshopify.com,10142029611355,borastapeter-anno-blomslinga-braun-4517,Blomslinga 4517,51540465090907,2015131
rtp0h2-cv.myshopify.com,10142029644123,borastapeter-anno-blomslinga-gruen-4518,Blomslinga 4518,51540465123675,2015132
rtp0h2-cv.myshopify.com,10142029742427,borastapeter-anno-blomslinga-rosa-4519,Blomslinga 4519,51540465221979,2015133
rtp0h2-cv.myshopify.com,10142029775195,borastapeter-anno-blomslinga-braun-4520,Blomslinga 4520,51540465254747,2015134
rtp0h2-cv.myshopify.com,10142134042971,borastapeter-blue-white-blomslinga-2093434,Blomslinga 6146,51540698890587,2093434
