product_id,handle,product_title,variant_id,variant_title,sku
10007975952731,arts-club-281,arts club 281,50992122003803,plant-based floor paint / 2.5 lt / glanz 40%,
10007975952731,arts-club-281,arts club 281,50992122298715,plant-based floor paint / 5 lt / glanz 40%,
10007975952731,arts-club-281,arts club 281,50992122200411,exterior masonry / 5 lt / stumpfmatt 5%,
10138607911259,borastapeter-linen-ash-grey-grau-4321,Ash Grey 4321,51521425178971,Default Title,2016181
10138667319643,borastapeter-scandinavian-designers-ii-aurora-multi-1790,Aurora,51521721499995,Default Title,2015030
10140693496155,brand-mc-kenzie-carnival-fever-balancing-act-hellblau-bmcf003-01a,Balancing Act Blue Sky BMCF003/01A,51531738448219,Default Title,2077665
10140693234011,brand-mc-kenzie-carnival-fever-balancing-act-gruen-bmcf003-01b,Balancing Act Green Sky BMCF003/01B,51531737956699,Default Title,2077666
10140692939099,brand-mc-kenzie-carnival-fever-balancing-act-blau-bmcf003-01c,Balancing Act Nightfall BMCF003/01C,51531737596251,Default Title,2077667
10140692709723,brand-mc-kenzie-carnival-fever-balancing-act-rosa-bmcf003-01d,Balancing Act Sunset BMCF003/01D,51531737235803,Default Title,2077668
10140734194011,brand-mc-kenzie-tropical-daze-banana-leaves-black-white-grau-bmtd001-05a,Banana Leaves Black & White BMTD001/05A,51532063342939,Default Title,2077189
10140734292315,brand-mc-kenzie-tropical-daze-banana-leaves-black-white-grau-bmtd001-06a,Banana Leaves Black & White BMTD001/06A,51532063899995,Default Title,2077186
10140734390619,brand-mc-kenzie-tropical-daze-banana-leaves-blush-pink-gruen-bmtd001-05b,Banana Leaves Blush Pink BMTD001/05B,51532065538395,Default Title,2077188
10140734456155,brand-mc-kenzie-tropical-daze-banana-leaves-blush-pink-gruen-bmtd001-06b,Banana Leaves Blush Pink BMTD001/06B,51532065931611,Default Title,2077187
10140734554459,brand-mc-kenzie-tropical-daze-banana-leaves-leaf-green-gruen-bmtd001-05c,Banana Leaves Leaf Green BMTD001/05C,51532071338331,Default Title,2077190
10140734685531,brand-mc-kenzie-tropical-daze-banana-leaves-leaf-green-gruen-bmtd001-06c,Banana Leaves Leaf Green BMTD001/06C,51532074221915,Default Title,2077185
10138607976795,borastapeter-linen-bay-leaf-gruen-4333,Bay Leaf 4333,51521425277275,Default Title,2016193
10138610467163,borastapeter-new-heritage-bella-4814-gruen-4814,Bella 4814,51521429471579,Default Title,2073792
10138610598235,borastapeter-new-heritage-bella-4815-beige-4815,Bella 4815,51521429602651,Default Title,2073793
10138603389275,borastapeter-icons-bersa-2100369,Berså 1750,51521388544347,Default Title,2100369
10138646380891,borastapeter-scandinavian-designers-ii-bersa-gruen-1750,Berså 1750,51521667236187,Default Title,2014990
10138646249819,borastapeter-scandinavian-designers-ii-bersa-grau-1751,Berså 1751,51521667039579,Default Title,2014991
10138646118747,borastapeter-scandinavian-designers-ii-bersa-blau-1752,Berså 1752,51521666777435,Default Title,2014992
10138645954907,borastapeter-scandinavian-designers-ii-bersa-gelb-1753,Berså 1753,51521666482523,Default Title,2014993
10138645823835,borastapeter-scandinavian-designers-ii-bersa-orange-1754,Berså 1754,51521666253147,Default Title,2014994
10138588021083,borastapeter-borosan-hem-betty-38770,Betty 38770,51521337360731,Default Title,2079302
10138587922779,borastapeter-borosan-hem-betty-38771,Betty 38771,51521337262427,Default Title,2079303
10138608107867,borastapeter-linen-birch-white-weiss-4302,Birch White 4302,51521425408347,Default Title,2016162
10138659848539,borastapeter-swedish-grace-birgit-5520,Birgit 5520,51521700757851,Default Title,2090404
10138659783003,borastapeter-swedish-grace-birgit-5521,Birgit 5521,51521700626779,Default Title,2090405
10138659717467,borastapeter-swedish-grace-birgit-5522,Birgit 5522,51521700528475,Default Title,2090406
10138659684699,borastapeter-swedish-grace-birgit-5523,Birgit 5523,51521700462939,Default Title,2090407
10138588152155,borastapeter-borosan-hem-birk-38767,Birk 38767,51521337459035,Default Title,2079299
